corp_name,corp_code
거남,482879
거농기계,446521
거농마트,895347
거대산업,407638
거동건설,528870
거동기업,1544662
거란,249283
거룡,1339495
거룡산업개발,603870
거룡종합건설,257246
거륜씨앤씨,424556
거림,1295632
거림건설,455237
거림메디컬컨설팅,1543496
거림의료컨설팅,1578368
거림정공,266907
거림중공업,1378333
거림테크,622918
거림트렌드,1549719
거명,1023585
거명건설,1023628
거명디엔씨,928715
거명산업,914536
거명종합개발,1479243
거명주택,928663
거목,1661701
거목,1680362
거목농산,566825
거목씨엠,1664090
거묵,866497
거묵개발,1151824
거묵건설,568221
거묵산업,1307353
거백,768520
거버너스엠앤에이사모펀드4호,435233
거버너스M&A사모펀드2호,429180
거버너스M&A사모펀드3호,431042
거버너스M&A사모펀드일호,377647
거보종합기술,349273
거봉,100753
거봉,892571
거봉산업,905264
거북선1호선박투자회사,586652
거북선2호선박투자회사,648688
거북선3호선박투자회사,648697
거북선4호선박투자회사,697329
거북선5호선박투자회사,778040
거북선6호선박투자회사,778059
거북선7호선박투자회사,837680
거북선컴퍼니,1591679
거북표씽크,669885
거산,1178070
거산,530787
거산,1638891
거산,1647464
거산개발,480622
거산개발,1460421
거산금속,451082
거산기계,625359
거산산업,1294776
거산알루미늄,1100389
거산엔터,688978
거산특수강,660176
거산파트너스,1587065
거상,820574
거상개발,951120
거상개발,1461022
거상수출산업,406912
거상이엔지,811284
거상자원,834966
거상정공,258935
거석로지스틱스,1653544
거성,392169
거성,926416
거성,1044986
거성,1103331
거성,920315
거성,1398081
거성개발,1455979
거성개발,1329090
거성건설,494607
거성건축사사무소,574967
거성금속,1539350
거성도시개발,661643
거성도시건설,1155431
거성디지털,1559257
거성레미콘,1254680
거성리젠시원,1381948
거성문화,612753
거성빅스타,1213090
거성산업,100771
거성산업,1099001
거성산업,944449
거성산업,633808
거성산업개발,578194
거성산업건설,634481
거성산업자재,413374
거성씨앤씨,1386563
거성약품,689144
거성이디씨,1582097
거성이앤지,677413
거성인더스,1407644
거성인베스트,677079
거성정밀,405667
거성종합건설,1454800
거성주택,209610
거성지엠에스,1474822
거성테크,1026670
거성토건,973317
거성특수포장,1563144
거성푸드,1563597
거성해운,918879
거세기술,337287
거손기업,938794
거송건설,613433
거송건설,1096305
거송산업개발,625580
거스트앤게일,1545555
거승,1224616
거승철강,525068
거양,310110
거양,100823
거양공업,924250
거양금속,673231
거양산업개발,1154812
거양해운,175331
거영산업,493990
거영산업,931481
거영코포레이션,1336665
거영해운,564270
거우엔지니어링,677352
거우인터내셔날,1171943
거원산업,1466896
거원유통,1550061
거인,1379217
거인개발,1409341
거인개발,1590519
거인디앤씨,927798
거인산업건설,546201
거인주택건설,1146521
거잔,1683697
거장건설,1555570
거장디벨로퍼,1586774
거장주택건설,436153
거장플러스,618827
거정산업,258573
거제공업,222602
거제관광호텔한양,638502
거제돔관광호텔,1148477
거제드림제일차,1432233
거제레미콘,608556
거제상동2지구,1541513
거제선박,528092
거제수산업협동조합,1601675
거제씨월드,1042067
거제양정아이파크,1062317
거제양정아이파크제이차,1099922
거제케이블카,1360398
거제케이블카파노라마,1640063
거제피에프브이,1338618
거제현대고속,1468326
거진개발,572437
거진종합건설,988416
거창맑은물사랑,875325
거창물류,1030141
거창산업개발,1530854
거창산업단지,867496
거창상운,696959
거창이베스트,1482089
거창이에스에스,1221187
거창풍력발전,1150490
거청,479051
거촌,1157411
거택디엠씨,1156607
거한건설,1372065
거해산업개발,877509
거해슈레다공업,940337
거홍건설,1208812
거홍건영,303989
거화,1545041
거화,1548631
거화실업,100878
거화토건,894685
거흥산업,526030
건강,1464199
건강건설,768478
건강과행복,1009530
건강나라,661050
건강마을,1386208
건강한사람들,927637
건곤,1634707
건곤이감,940595
건곤하우징,526401
건국건설,1226711
건국우유,100896
건국이엔아이,1467804
건기사업,677176
건남개발,444453
건덕상사,258908
건덕테크,834887
건도건설,662040
건도산업,247425
건도산업개발,509149
건동주택,436481
건륭건설,221144
건륭실업,192958
건림원,669964
건명국개발,1255795
건물과사람들,1221725
건미종합건설,575160
건민,413116
건민회계법인,1034864
건백,1219650
건보식품,262886
건부산업개발,636498
건사리테일앤에스테이트,1613023
건사플러스,1613050
건설강업,576822
건설개발,867274
건설공제조합,1643635
건설과미래,1223316
건설근로자공제회,888976
건설기계인,1148097
건설기업,233334
건설기업,233343
건설레미콘,100911
건설미래,1295003
건설알포메,273402
건설엔지니어피케이투,605805
건설웨슨,472942
건설자재산업,1407273
건설증권,100920
건설철강,816021
건설케이에프디,492663
건설콘크리트,409122
건설투자,867229
건설포럼플러스,1557693
건설품질기술연구원,1659636
건설하이콘,960793
건세고압,523237
건수산업,981501
건식무역,674674
건아씨앤디,550453
건아엔터프라이즈,873521
건아정보기술,241971
건안산업,1138823
건양,681629
건양,239949
건양,1230796
건양개발,1101759
건양공업,641667
건양기술공사건축사사무소,1088227
건양기업,616263
건양미곡종합처리장,469142
건양산업,203661
건양산업,1099834
건양산업,1250860
건양씨엔이,601748
건양아이티티,1086548
건양알앤디,372095
건양종합건설,211208
건양철강,838360
건양콘크리트,100948
건양페인트,235022
건영,100957
